Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,About Heading (product.metafields.about.heading),Max in Cart (product.metafields.custom.max_in_cart),Variant Images Grouping List (product.metafields.custom.variant_images_grouping_list),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),30 Day Sales Quantity (product.metafields.ohs.30_day_sales_quantity),Attributes (product.metafields.ohs.attributes),Bullets (product.metafields.ohs.bullets),Container Qty (product.metafields.ohs.container_qty),Container Servings (product.metafields.ohs.container_servings),Container Type (product.metafields.ohs.container_type),Dose Phrase (product.metafields.ohs.dose_phrase),Fact Card Product (product.metafields.ohs.fact_card_product),FAQs (product.metafields.ohs.faqs),Health Goals (product.metafields.ohs.health_goals),Ingredients (product.metafields.ohs.ingredients),Parent Product (product.metafields.ohs.parent_product),Sample Product (product.metafields.ohs.sample_product),WS Product (product.metafields.ohs.ws_product),Visibility to Search & Google (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Flavor (product.metafields.shopify.flavor),Genre (product.metafields.shopify.genre),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / European Union,Price / European Union,Compare At Price / European Union,Included / International,Price / International,Compare At Price / International,Included / US Retail,Price / US Retail,Compare At Price / US Retail,Status
ws-opti-glandular,WS - Opti-Glandular,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587425-WS,113.3980925,shopify,1415,deny,manual,20.35,37.00,true,false,,,,,850019587425-WS,,,,false,,,525,,,,,,,,,,,,,,,47,,,,,,,,,,,opti-glandular,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-heart,WS - Opti-Heart,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587047928-WS,68.0388555,shopify,2019,deny,manual,20.35,37.00,true,false,,,,,619587047928-WS,,,,false,,,525,,,,,,,,,,,,,,,120,,,,,,,,,,,opti-heart,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-immune-vrl,WS - Opti-Immune VRL,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - Admin Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744099-WS,68.0388555,shopify,1244,deny,manual,22.00,40.00,true,false,,,,,645871744099-WS,,,,false,,,525,,,,,,,,,,,,,,,161,,,,,,,,,,,opti-immune-vrl,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-iodine,WS - Opti-Iodine,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744075-WS,68.0388555,shopify,2311,deny,manual,20.35,37.00,true,false,,,,,645871744075-WS,,,,false,,,525,,,,,,,,,,,,,,,138,,,,,,,,,,,opti-iodine,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-lung,WS - Opti-Lung,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587047935-WS,68.0388555,shopify,709,deny,manual,23.10,42.00,true,false,,,,,619587047935-WS,,,,false,,,525,,,,,,,,,,,,,,,58,,,,,,,,,,,opti-lung,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-magnastem,WS - Opti-MagnaSTEM,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587047782-WS,68.0388555,shopify,2330,deny,manual,25.30,46.00,true,false,,,,,619587047782-WS,,,,false,,,525,,,,,,,,,,,,,,,118,,,,,,,,,,,opti-magnastem,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-metals-detox,WS - Opti-Metals Detox,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744044-WS,130.407806375,shopify,620,deny,manual,33.00,60.00,true,false,,,,,645871744044-WS,,,,false,,,525,,,,,,,,,,,,,,,81,,,,,,,,,,,opti-metals-detox,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-methyl-b,WS - Opti-Methyl-B,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744020-WS,68.0388555,shopify,1697,deny,manual,20.35,37.00,true,false,,,,,645871744020-WS,,,,false,,,525,,,,,,,,,,,,,,,462,,,,,,,,,,,opti-methyl-b,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-mito-force,WS - Opti-Mito-Force,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744082-WS,68.0388555,shopify,4139,deny,manual,21.45,39.00,true,false,,,,,645871744082-WS,,,,false,,,525,,,,,,,,,,,,,,,279,,,,,,,,,,,opti-mito-force,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-para,WS - Opti-Para,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587048093-WS,68.0388555,shopify,325,deny,manual,20.35,37.00,true,false,,,,,619587048093-WS,,,,false,,,525,,,,,,,,,,,,,,,296,,,,,,,,,,,opti-para,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-opti-thyroid,WS - Opti-Thyroid,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744013-WS,113.3980925,shopify,4262,deny,manual,22.00,40.00,true,false,,,,,645871744013-WS,,,,false,,,525,,,,,,,,,,,,,,,210,,,,,,,,,,,opti-thyroid,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-2-whole-food-vitamin-mineral,WS - Optimal 2 Whole Food Vitamin Mineral,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123020-WS,130.407806375,shopify,1429,deny,manual,19.25,35.00,true,false,,,,,655705123020-WS,,,,false,,,525,,,,,,,,,,,,,,,520,,,,,,,,,,,optimal-2-whole-food-vitamin-mineral,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-acute,WS - Optimal Acute,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123044-WS,68.0388555,shopify,1775,deny,manual,23.10,42.00,true,false,,,,,655705123044-WS,,,,false,,,525,,,,,,,,,,,,,,,485,,,,,,,,,,,optimal-acute,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-b-awake,WS - Optimal B Awake,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,689076545273-WS,113.3980925,shopify,1261,deny,manual,19.25,35.00,true,false,,,,,689076545273-WS,,,,false,,,525,,,,,,,,,,,,,,,289,,,,,,,,,,,optimal-b-awake,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-bff,WS - Optimal BFF,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587047874-WS,328.85446825,shopify,0,deny,manual,28.60,52.00,true,false,,,,,619587047874-WS,,,,false,,,525,,,,,,,,,,,,,,,130,,,,,,,,,,,optimal-bff,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-boneplus-calcium,WS - Optimal BonePlus Calcium,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123136-WS,68.0388555,shopify,250,deny,manual,19.25,35.00,true,false,,,,,655705123136-WS,,,,false,,,525,,,,,,,,,,,,,,,332,,,,,,,,,,,optimal-boneplus-calcium,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-calm,WS - Optimal Calm,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,689076768962-WS,90.718474,shopify,370,deny,manual,21.45,39.00,true,false,,,,,689076768962-WS,,,,false,,,525,,,,,,,,,,,,,,,208,,,,,,,,,,,optimal-calm,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-chronic,WS - Optimal Chronic,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123051-WS,68.0388555,shopify,1035,deny,manual,19.25,35.00,true,false,,,,,655705123051-WS,,,,false,,,525,,,,,,,,,,,,,,,272,,,,,,,,,,,optimal-chronic,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-complete-nutrition-plus,WS - Optimal Complete Nutrition Plus,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Protein Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Powder, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,689076768665-WS,737.08760125,shopify,884,deny,manual,49.50,90.00,true,false,,,,,689076768665-WS,,,,false,,,525,,,,,,,,,,,,,,,129,,,,,,,,,,,optimal-complete-nutrition-plus,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-complete-performance-exotic-chocolate,WS - Optimal Complete Performance - Exotic Chocolate,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Protein Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Powder, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587289-WS,1587.573295,shopify,207,deny,manual,49.50,90.00,true,false,,,,,850019587289-WS,,,,false,,,525,,,,,,,,,,,,,,,52,,,,,,,,,,,optimal-complete-performance-bulk-container-chocolate,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-complete-performance-native-vanilla,WS - Optimal Complete Performance - Native Vanilla,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Protein Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Powder, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587272-WS,1587.573295,shopify,191,deny,manual,49.50,90.00,true,false,,,,,850019587272-WS,,,,false,,,525,,,,,,,,,,,,,,,43,,,,,,,,,,,optimal-complete-performance-bulk-container-vanilla,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-cort-adrena,WS - Optimal Cort-Adrena,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123204-WS,90.718474,shopify,2664,deny,manual,18.70,34.00,true,false,,,,,655705123204-WS,,,,false,,,525,,,,,,,,,,,,,,,303,,,,,,,,,,,optimal-cort-adrena,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-defense,WS - Optimal Defense,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123228-WS,113.3980925,shopify,1041,deny,manual,20.35,37.00,true,false,,,,,655705123228-WS,,,,false,,,525,,,,,,,,,,,,,,,127,,,,,,,,,,,optimal-defense,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-efa,WS - Optimal EFA,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, TYPE - SOFTGEL, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587678-WS,68.0388555,shopify,1643,deny,manual,19.80,36.00,true,false,,,,,850019587678-WS,,,,false,,,525,,,,,,,,,,,,,,,863,,,,,,,,,,,optimal-efa,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-fat-sugar-trim,WS - Optimal Fat Sugar Trim,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123037-WS,113.3980925,shopify,2130,deny,manual,20.35,37.00,true,false,,,,,655705123037-WS,,,,false,,,525,,,,,,,,,,,,,,,331,,,,,,,,,,,optimal-fat-sugar-trim,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-flora-plus,WS - Optimal Flora Plus,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123075-WS,68.0388555,shopify,3207,deny,manual,19.25,35.00,true,false,,,,,655705123075-WS,,,,false,,,525,,,,,,,,,,,,,,,573,,,,,,,,,,,optimal-flora-plus,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-fruit-veggie-plus,WS - Optimal Fruit & Veggie Plus,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Powder, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,689076768764-WS,566.9904625,shopify,1075,deny,manual,49.50,90.00,true,false,,,,,689076768764-WS,,,,false,,,525,,,,,,,,,,,,,,,130,,,,,,,,,,,optimal-fruit-and-veggie-plus,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-half-day-organ-cleanse-kit-with-instructions,WS - Optimal Half-Day Organ Cleanse Kit (with instructions),"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable, WS - Bundle/Kit",true,Title,Default Title,,,,,,,,850019587593-WS,206.9515188125,shopify,23,deny,manual,46.20,84.00,true,false,,,,,850019587593-WS,,,,false,,,525,,,,,,,,,,,,,,,17,,,,,,,,,,,optimal-half-day-organ-cleanse-kit-with-instructions,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-health-pak,WS - Optimal Health Pak,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Shelf Pak, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587302-WS,396.89332375,shopify,0,deny,manual,67.10,122.00,true,false,,,,,850019587302-WS,,,,false,,,525,,,,,,,,,,,,,,,22,,,,,,,,,,,optimal-health-pak,,,1,,,,,,,,,,,,,,,oz,,22.30,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-iron,WS - Optimal Iron,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123082-WS,68.0388555,shopify,963,deny,manual,17.60,32.00,true,false,,,,,655705123082-WS,,,,false,,,525,,,,,,,,,,,,,,,152,,,,,,,,,,,optimal-iron,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-lightning-vita-min-gummies,WS - Optimal Lightning Vita-Min Gummies,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587401-WS,226.796185,shopify,3718,deny,manual,26.40,48.00,true,false,,,,,850019587401-WS,,,,false,,,525,,,,,,,,,,,,,,,197,,,,,,,,,,,optimal-lightning-vita-min-gummies,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-lipolean-cla,WS - Optimal LipoLean CLA,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, TYPE - SOFTGEL, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,619587047775-WS,541.4758916875,shopify,1293,deny,manual,17.60,32.00,true,false,,,,,619587047775-WS,,,,false,,,525,,,,,,,,,,,,,,,50,,,,,,,,,,,optimal-lipolean-cla,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-liver-kidney,WS - Optimal Liver Kidney,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123068-WS,113.3980925,shopify,2177,deny,manual,19.25,35.00,true,false,,,,,655705123068-WS,,,,false,,,525,,,,,,,,,,,,,,,391,,,,,,,,,,,optimal-liver-kidney,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-longevi-d-k2,WS - Optimal Longevi-D K2,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123099-WS,68.0388555,shopify,2509,deny,manual,22.00,40.00,true,false,,,,,655705123099-WS,,,,false,,,525,,,,,,,,,,,,,,,253,,,,,,,,,,,optimal-longevi-d-k2,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-muscle-rx,WS - Optimal Muscle RX,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,718122762477-WS,328.85446825,shopify,1489,deny,manual,44.00,70.00,true,false,,,,,718122762477-WS,,,,false,,,525,,,,,,,,,,,,,,,221,,,,,,,,,,,optimal-muscle-rx,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-opti-nitric,WS - Optimal Opti-Nitric,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,645871744051-WS,130.407806375,shopify,530,deny,manual,20.35,37.00,true,false,,,,,645871744051-WS,,,,false,,,525,,,,,,,,,,,,,,,208,,,,,,,,,,,optimal-opti-nitric,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-opti-t,WS - Optimal Opti-T,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,655705123143-WS,2086.524902,shopify,1693,deny,manual,24.75,45.00,true,false,,,,,655705123143-WS,,,,false,,,525,,,,,,,,,,,,,,,202,,,,,,,,,,,optimal-opti-t,,,1,,,,,,,,,,,,,,,lb,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-oxy-pure,WS - Optimal Oxy-Pure,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable, WS - Weekly Promo",true,Title,Default Title,,,,,,,,689076768368-WS,130.407806375,shopify,1129,deny,manual,21.45,39.00,true,false,,,,,689076768368-WS,,,,false,,,525,,,,,,,,,,,,,,,114,,,,,,,,,,,optimal-oxy-pure,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
ws-optimal-sleep-gummies,WS - Optimal Sleep Gummies,"",Optimal Health Systems,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Wholesale,"Bottle, Exclude Recommended, Exclude Review, exclude_rebuy, HP Line Order, Tier 1 - Wholesale, Visibility - HP Only, Wholesale, WS - Bulk Discountable",true,Title,Default Title,,,,,,,,850019587364-WS,130.407806375,shopify,591,deny,manual,22.00,40.00,true,false,,,,,850019587364-WS,,,,false,,,525,,,,,,,,,,,,,,,347,,,,,,,,,,,optimal-sleep-gummies,,,1,,,,,,,,,,,,,,,oz,,,true,,,true,,,true,,,true,,,true,,,active
